target_n,n,m,seed,diversity,method,method_name,f_cosine,ratio_to_A,seconds,evaluations
6,4,1,0,0.2074,A,A-bruteforce,0.812367,1.0,0.0003502000472508371,4
6,4,1,0,0.2074,B,B-IndepDF,0.798703,0.98318,9.799998952075839e-05,4
6,4,1,0,0.2074,C,C-Shapley[exact],0.812367,1.0,0.0005814000032842159,16
6,4,1,0,0.2074,D,D-FLGreedy,0.812367,1.0,0.00019310001516714692,4
6,6,1,1,0.1823,A,A-bruteforce,0.619898,1.0,0.0006328999879769981,20
6,6,1,1,0.1823,B,B-IndepDF,0.619898,1.0,3.220001235604286e-05,6
6,6,1,1,0.1823,C,C-Shapley[exact],0.607426,0.97988,0.0021211999701336026,64
6,6,1,1,0.1823,D,D-FLGreedy,0.619898,1.0,0.00017329998081550002,6
6,6,1,2,0.2126,A,A-bruteforce,0.653757,1.0,0.0005853999755345285,20
6,6,1,2,0.2126,B,B-IndepDF,0.638153,0.976131,2.5699962861835957e-05,6
6,6,1,2,0.2126,C,C-Shapley[exact],0.63264,0.967699,0.0021065999753773212,64
6,6,1,2,0.2126,D,D-FLGreedy,0.653757,1.0,0.00015310000162571669,6
6,6,2,3,0.2562,A,A-bruteforce,0.670457,1.0,0.0009556000004522502,20
6,6,2,3,0.2562,B,B-IndepDF,0.630972,0.941107,2.589996438473463e-05,6
6,6,2,3,0.2562,C,C-Shapley[exact],0.670457,1.0,0.003588499967008829,64
6,6,2,3,0.2562,D,D-FLGreedy,0.670457,1.0,0.0001674999948590994,6
6,5,1,4,0.2158,A,A-bruteforce,0.717667,1.0,0.00036839995300397277,10
6,5,1,4,0.2158,B,B-IndepDF,0.703219,0.979868,0.0033212999696843326,5
6,5,1,4,0.2158,C,C-Shapley[exact],0.717667,1.0,0.0011971000349149108,32
6,5,1,4,0.2158,D,D-FLGreedy,0.717667,1.0,0.00014819996431469917,5
6,6,1,5,0.2028,A,A-bruteforce,0.677875,1.0,0.0006178999901749194,20
6,6,1,5,0.2028,B,B-IndepDF,0.677875,1.0,3.2100011594593525e-05,6
6,6,1,5,0.2028,C,C-Shapley[exact],0.667321,0.984431,0.0021681999787688255,64
6,6,1,5,0.2028,D,D-FLGreedy,0.677875,1.0,0.00016179995145648718,6
8,6,1,0,0.1823,A,A-bruteforce,0.619898,1.0,0.0005673000123351812,20
8,6,1,0,0.1823,B,B-IndepDF,0.619898,1.0,3.0199997127056122e-05,6
8,6,1,0,0.1823,C,C-Shapley[exact],0.607426,0.97988,0.001916699984576553,64
8,6,1,0,0.1823,D,D-FLGreedy,0.619898,1.0,0.00023259996669366956,6
8,8,2,1,0.2303,A,A-bruteforce,0.585309,1.0,0.003850500041153282,56
8,8,2,1,0.2303,B,B-IndepDF,0.5,0.85425,4.829996032640338e-05,8
8,8,2,1,0.2303,C,C-Shapley[exact],0.5,0.85425,0.01095500000519678,256
8,8,2,1,0.2303,D,D-FLGreedy,0.585309,1.0,0.000125700025819242,8
8,6,1,2,0.2126,A,A-bruteforce,0.653757,1.0,0.00040550000267103314,20
8,6,1,2,0.2126,B,B-IndepDF,0.638153,0.976131,2.770003629848361e-05,6
8,6,1,2,0.2126,C,C-Shapley[exact],0.63264,0.967699,0.0011591000366024673,64
8,6,1,2,0.2126,D,D-FLGreedy,0.653757,1.0,9.23000043258071e-05,6
8,8,1,3,0.2009,A,A-bruteforce,0.549652,1.0,0.0008481999975629151,56
8,8,1,3,0.2009,B,B-IndepDF,0.510629,0.929003,1.9899976905435324e-05,8
8,8,1,3,0.2009,C,C-Shapley[exact],0.538567,0.979832,0.013752099999692291,256
8,8,1,3,0.2009,D,D-FLGreedy,0.549652,1.0,0.00018580001778900623,8
8,6,1,4,0.2222,A,A-bruteforce,0.665366,1.0,0.00038709997897967696,20
8,6,1,4,0.2222,B,B-IndepDF,0.665366,1.0,4.4599990360438824e-05,6
8,6,1,4,0.2222,C,C-Shapley[exact],0.660992,0.993426,0.0020075999782420695,64
8,6,1,4,0.2222,D,D-FLGreedy,0.665366,1.0,0.00011259998427703977,6
8,7,1,5,0.2253,A,A-bruteforce,0.62424,1.0,0.0006455000257119536,35
