budget,method,f_cosine,f_precision,seconds
50,B-IndepDF,0.095203,0.076689,0.016960300039499998
50,D-FLGreedy,0.126824,0.056083,0.09171579999383539
100,B-IndepDF,0.146576,0.108184,0.015372800000477582
100,D-FLGreedy,0.204983,0.078313,0.12037620000774041
200,B-IndepDF,0.208026,0.15174,0.01683540001977235
200,D-FLGreedy,0.304622,0.117073,0.1409653999726288
500,B-IndepDF,0.336287,0.246157,0.016063900024164468
500,D-FLGreedy,0.435568,0.217865,0.2431252999813296
1000,B-IndepDF,0.468325,0.352892,0.017048000008799136
1000,D-FLGreedy,0.53966,0.330574,0.2964508000295609
2000,B-IndepDF,0.628327,0.503576,0.016947299998719245
2000,D-FLGreedy,0.665417,0.486779,0.3558762000175193
3000,B-IndepDF,0.72451,0.614621,0.017512300051748753
3000,D-FLGreedy,0.748677,0.60005,0.4232625000295229
5000,B-IndepDF,0.848061,0.773568,0.017423199955374002
5000,D-FLGreedy,0.859681,0.763623,0.5717607000260614
8000,B-IndepDF,0.946377,0.916235,0.020560900040436536
8000,D-FLGreedy,0.952498,0.910026,0.6340515000047162
100,C-Shapley(mc),0.144701,0.107965,11.468624500033911
1000,C-Shapley(mc),0.478369,0.35106,11.468624500033911
5000,C-Shapley(mc),0.850367,0.770249,11.468624500033911
