n,method,budget,seconds,evaluations,theory_count
6,A,3,0.0005623000324703753,20,20
8,A,4,0.002172500011511147,70,70
8,C,3,0.008966800000052899,256,256
10,A,5,0.009019199991598725,252,252
10,C,3,0.04505570000037551,1024,1024
11,A,5,0.008172700006980449,462,462
11,C,3,0.045444499992299825,2048,2048
14,A,7,0.13928160001523793,3432,3432
14,C,3,0.7605780000449158,16384,16384
15,A,7,0.11032459995476529,6435,6435
15,C,3,0.812846900022123,32768,32768
18,A,9,1.4211927000433207,48620,48620
18,C,3,10.119858300022315,262144,262144
18,A,9,3.530958500050474,48620,48620
18,C,3,20.886980100010987,262144,262144
20,A,10,13.340306900034193,184756,184756
20,C,3,86.11524670000654,1048576,1048576
