n,m,method,seconds,theory_nm
241,10,B,0.00018809997709468007,2410
241,10,D,0.004072299983818084,241
513,20,B,0.00037020002491772175,10260
513,20,D,0.00807189999613911,513
944,40,B,0.0007163999835029244,37760
944,40,D,0.01719099999172613,944
2441,80,B,0.001950700010638684,195280
2441,80,D,0.05086030001984909,2441
5115,160,B,0.0037875999696552753,818400
5115,160,D,0.1302327000303194,5115
7348,240,B,0.0071137999766506255,1763520
7348,240,D,0.2293235000106506,7348
9410,320,B,0.009139300032984465,3011200
9410,320,D,0.30312290001893416,9410
10937,443,B,0.011539100029040128,4845091
10937,443,D,0.39583950000815094,10937
